bidding_id,date,url,province,bid_or_ask,status,title,comment,Keywords
BID-2025-05-07_9574722c-c9aa-4727-a6a2-d23e44a8259c,2025-05-07,https://www.zbytb.com/s-zb-57357836.html,陕西,仅招标,招标,陕西郭家河煤业有限责任公司排矸场高温隐患区防灭火治理工程招标公告,"煤业,陕西郭家河煤业,陕西郭家河,郭家河,排矸",一、项目概况1.项目名称：郭家河煤业有限责任公司排矸场高温隐患区防灭火治理工程2.项目地点:本项目位于陕西省宝鸡市麟游县郭家河煤矿一盘区矸石山排矸场3.项目概况:为了尽快对郭家河煤矿排矸场高温隐患区进行达标恢复治理，拟对矸石山进行签订长期的防灭火治理服务合约，本次暂拟定工作量：钻探2100m，注浆15000m³。4.工程承包范围：（1）详见工程量清单。（2）该项目所用的注浆钻探设备、人工等由施工方负责，钻探注浆所需的黄土、生石灰、注浆花管由发包方无偿提供。5.工期要求：200日历天或完成合同工作量。6.质量标准：合格7.验收标准：工程质量符合现场无明显着火迹象；测温显示各个钻孔温度降至100℃以下；现场逸散气体（CO、pS）降至合理范围。8.项目编号：B3200001805062990001二、投标人资格要求1.投标申请人须具有独立企业法人资格，具有有效的营业执照。拟投标项目在企业合法经营范围内。2.投标人具有地质灾害施工乙级及以上资质。3.拟派项目负责人应当具备建筑工程专业二级建造师资格及有效的安全生产考核合格证（建安B证）。4.投标人不得为“中国执行信息公开网”网站（http://zxgk.court.gov.cn）中被列入失信被执行人和“信用中国”网站重大税收违法失信主体（网页截图加盖公章）。5.本项目采用资格后审方式，且不接受联合体投标。6.符合法律法规的其他要求。三、投标保证金的缴纳：1.项目的投标保证金：20000元四、招标文件的获取：1.招标公告发布时间：2025年5月7日至2025年5 月12日。2.请投标人在2025年5月7日08时至2025年5月12日17时30分（北京时间，同下）内……下载电子招标文件。
BID-2025-05-07_ad8f570f-255e-46cb-9247-5ff73289b723,2025-05-07,https://www.zbytb.com/s-zb-57344598.html,陕西,仅招标,招标,长庆油田分公司第三采油厂产能建设井场(站)草评报告编制及手续办理服务(盐池区域)招标公告,"报告编制,油田,第三采油厂,长庆油田,产能建设",1. 招标条件本招标项目长庆油田分公司第三采油厂产能建设井场（站）草评报告编制及手续办理服务（盐池区域）已按要求履行了相关报批及备案等手续，资金来源已落实，具备招标条件，招标人为长庆油田分公司第三采油厂，现进行公开招标。2. 项目概况与招标范围2.1项目概况：长庆油田分公司第三采油厂盐池区域产能建设井场（站）草评报告编制及手续办理服务；井场测绘工作。主要工作量为编制第三采油厂盐池区域产能建设井场（站）草评报告编制及手续办理，预计6.7km井场道路、井场预计295亩；井场测绘47个；建设使用草地可行性报告及相关草地手续办理。费用预算71.45万元（不含税）。本次招标工作量为暂估工作量，工作量可能进行相应调整，最终以验收工作量为准。2.2招标范围：长庆油田分公司第三采油厂盐池区域产能建设井场（站）草评报告编制及手续办理服务；井场测绘工作。标段划分：本项目不划分标段，服务商需求数量：1家。2.3服务地点：(请登录)2.4服务期限：自合同签订之日起至2025年12月31日。3. 投标人资格要求3.1 投标人必须是依照中华人民共和国法律在国内注册的独立法人或其它组织，需具备有效的营业执照（事业单位提供事业单位法人证书）。3.2资格要求：投标人须是《长庆油田油气建设用地编制使用草地可行性报告技术服务集中资格招标（ZY24-XA406-FW631）》项目与本项目对应行政区域（宁夏）标段的准入服务商，名单见公告附件。3.3 人员要求：人员配置不少于5人，且为企业自有员工（非退休人员），其中：项目负责人1人、技术负责人1人、团队人员3人，人员互相不得兼任。提供身份证、劳动合同、本企业2024年10月及以后任意连续3个月社保缴费证明。3.4 财务要求：未被责令停产停业、暂扣或者吊销许可证、暂扣或者吊销执照的；未进入清算程序，或被宣告破产，或其他丧失履约能力的情形；投标人应提供2023年经会计师事务所或审计机构审计的财务状况表（包括正文部分、资产负债表、利润表或称损益表、现金流量表、附注，审计报告必须有注册会计师的签字并加盖执业印章）。成立日期晚于2023年1月1日的，从成立年开始提供。3.5 信誉要求：投标人在“国家企业信用信息公示系统”网站（www.gsxt.gov.cn）未被列入严重违法失信企业名单；且在“信用中国”网站未被人民法院列入失信被执行人，列入经营异常或（黑名单）已经移出的不计算在内；投标人、法定代表人、拟委任的项目负责人均无行贿犯罪。3.6 被中国石油天然气集团有限公司或长庆油田分公司纳入“黑名单”或限制投标的潜在投标人，其投标将会被否决。3.7 本项目不接受联合体投标。4. 招标文件获取4.1 凡有意参加投标的潜在投标人，请于北京时间 2025年5月8日至2025年5月12日 完成以下两个步骤：
BID-2025-05-07_4ed23f75-0a7a-41c0-b146-42661c52dcaf,2025-05-07,https://www.zbytb.com/s-zb-57351806.html,陕西,仅招标,招标,长庆油田分公司第一采气厂2025年数据采集系统配件等一批带量采购招标公告,"数据采集系统,数据采集,油田,第一采气厂,长庆油田",1. 招标条件本招标项目长庆油田分公司第一采气厂2025年数据采集系统配件等一批带量采购招标人为长庆油田分公司第一采气厂，招标项目资金来自长庆油田分公司第一采气厂，出资比例为 100% 。该项目已具备招标条件，现对其进行公开招标。2. 项目概况与招标范围2.1本招标项目为带量采购招标，招标范围为：长庆油田分公司第一采气厂2025年数据采集系统配件等一批带量采购招。 项目划分为1标包/段，本项目预估采购金额199.722万元（含税含运费）。所属类别物资大类物资中类物资小类物资品名编码名称编码名称编码名称编码名称A43过程控制仪表与系统A4311组合仪表与工业控制系统A431101工业自动化控制系统A43110117工业自动化控制系统配件2.2 产品特点 ：该项材料属于厂158口气井供电系统优化升级及苏东南区电子巡井供电系统隐患治理用料。2.3 到货地点：(请登录)2.4 交货日期：2025年12月20日之前。2.5 中标价格为中选供应商的投标价格；中标结果有效期为中标通知书下发之日起至合同履行完毕为止。2.6 技术要求：1）供应商所投标产品必须满足本项目采购物资的具体规格型号，质量实行三包，质量不得存在任何影响到设备安全正常运行的缺陷。（书面承诺）2）投标物资分项报价表中生产厂家列必须填写全称，承诺所提供的各类配件必须跟原有设备匹配、兼容。执行标准必须满足原设备生产厂家该品类配件相关要求，否则否决其投标。（书面承诺）。3. 投标人资格要求3.1  投标人应为中华人民共和国境内注册的法人或其他组织，具有承担民事责任的能力（法人企业分支机构等不具备法人资格的投标人参与投标时，应提供对应法人企业法定代表人身份证明及法定代表人出具的授权委托书方可参与投标）。提供统一社会信用代码的营业执照扫描件。3.2 财务要求：投标人应提供2023年度有效的经会计师事务所审计财务报告和财务报表（有效是指：审计报告应当有注册会计师的签名和盖章，会计师事务所的名称、地址及盖章；财务报表包括：资产负债表、利润表或称损益表、现金流量表及附注），没有处于以下不良状态：被行政管理机构吊销营业执照、吊销资质、停业整顿、取消投标资格，财产被接管、冻结或进入破产程序，资不抵债、破产、拆分、转租/售，正在处理的法律纠纷可能构成合同执行风险等。3.3 信誉要求：①投标人未被“国家企业信用信息公示系统”网站（www.gsxt.gov.cn）列入严重违法失信企业名单。② 投标人、法定代表人或者负责人未被人民法院在“信用中国”网站列入失信被执行人。③2021年1月1日至投标截止时间投标人、法定代表人或者负责人、拟委任的项目负责人无行贿犯罪。④投标人财务状况良好，无破产或资不抵债现象。3.4 被中国石油天然气集团有限公司或长庆油田分公司限制投标的潜在投标人，或投标人投标产品在《中国石油天然气集团有限公司采购产品质量监督抽查情况通报》中相关产品被暂停交易权限的（复查合格的除外）投标将被否决；实施退出处理生效期内的物资供应商（制造商、代理商、贸易商）或其相关产品在能源一号网处于“中止”、“终止”、“冻结”状态，投标将被否决。3.5 投标人所供产品必须符合国家、行业现行技术标准和招标文件要求，必须符合满足其他法律、行政法规规定的其他条件。3.6 法定代表人为同一个人的两个及两个以上的公司，母公司、全资子公司及其控股公司，不得同时参与同一标段投标。3.7 不接受联合体投标。4. 招标文件的获取4.1项目报名及招标文件购买：凡有意参加投标的潜在投标人，请于北京时间 2025年5月7日至2025年5月12日……购买：
BID-2025-05-07_bee884cd-da24-4428-bc5f-7e9fa830f3cf,2025-05-07,https://www.zbytb.com/s-zb-57340032.html,陕西,仅招标,招标,中油测井WZ-202504-00155连续油管地面系统及辅助设备二次招标公告,"及辅助设备,中油测井,连续油管,地面系统,辅助设备",项目名称:中油测井WZ-202504-00155连续油管地面系统及辅助设备（二次）项目概况：详见附件；项目单位：测井有限公司项目类别：物资类项目分类：其他供应商资格要求：详见附件；采购文件的获取：3.谈判文件的获取 3.1请潜在供应商于2025年5月7日至2025年5月9日17时00 分前（北京时间）。
BID-2025-05-07_118c8cd8-62a8-48ee-aa5d-d329e3f45462,2025-05-07,https://www.zbytb.com/s-zb-57343495.html,陕西,仅招标,招标,观澜锦上苑项目22#公租房入户门采购及安装工程竞争性磋商公告,"入户门,公租房,租房,安装",一、招标条件：本招标项目为观澜锦上苑项目22#公租房入户门采购及安装工程（二次），建设资金来自企业自筹，项目出资比例为100%；采购人为陕西航天建设集团有限公司，项目已具备招标条件，现采购方式为竞争性磋商。二、项目概况与招标范围：2.1项目地点：(请登录)2.2项目概况：包含地上33层(地下2层），其中地上建筑面积约20180㎡，结构夹层面积772㎡，地下一层建筑面积约905㎡。总建筑面积约为21857㎡，剪力墙结构。2.3招标范围：具体包括不限于采购运输、安装调试、竣工验收，产品保修期内的修、配、换服务以及施工图纸所涉及描述的全部工作内容。本招标项目划分为1个标段，本次招标为其中的：(001)观澜锦上苑项目22#公租房入户门采购及安装工程（二次）。三、供应商资格要求：3.1供应商具有独立法人资格，具有有效的营业执照。3.2供应商须为生产厂商或者厂商授权的代理商；如为制造商，提供相关承诺函（承诺投标产品为供应商制造）；如为代理商投标，提供制造商出具的唯一代理授权书，制造商仅能委托一家代理商投标，否则均将被否决；不接受制造商和代理商同时投标；须提供第三方检测机构出具的整樘门合格的产品质量检测报告。3.3提供2024年度经会计事务所或审计机构审计的完整财务审计报告，包括资产负债表、现金流量表、利润表及附注；或开户银行出具的资信证明或单位财务出具的财务报表（具体包括资产负债表、现金流量表、利润表及附注等）。3.4提供自2020年1月1日以来至本项目采购公告发布之日止的类似项目业绩一个。3.5供应商未被列入“中国执行信息公开网(http://zxgk.court.gov.cn)”失信被执行人。3.6单位负责人为同一人或者存在控股，管理关系的不同单位，不得同时参加本招标项目投标。3.7本项目不接受联合体投标。四、磋商文件的获取：报名时间：2025年05月07日09时00分起至2025年05月13日18时00分（国家法定节假日除外）
